query_id	query	description	engine	title	rank	score
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	How to Make the Best Lasagna | Allrecipes	1	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	How to Make the Best Lasagna | Allrecipes	2	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	5 Secret Tricks to Making the Best Lasagna Ever	3	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	World's Best Lasagna | Allrecipes	4	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	The Most Amazing Lasagna Recipe	5	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	"Lasagna, the Original Recipe - La Cucina Italiana"	6	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	Classic Lasagna Recipe - How To Make Lasagna	7	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	Classic lasagne recipe | BBC Good Food	8	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	How to make lasagne recipe - BBC Food	9	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	Easiest ever lasagne recipe | BBC Good Food	10	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	Best Lasagna Recipe - How to Make Lasagna From Scratch	1	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	The Best Lasagna Recipe - Easy to Make!	2	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	How To Make The Best Lasagna Bolognese Recipe	3	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	Best Vegetable Lasagna Recipe - How to Make Vegetable ...	4	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	How To Make The Best Lasagna Recipe Video by Nickoskit...	5	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	How to Make the BEST Home Made Lasagna Ever. Enjoy! Re...	6	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	World's Best Lasagna | Allrecipes	7	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	Easy Chicken Sausage Lasagna Recipe | Eat This Not That	8	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	The Best Lasagna Soup Recipe - Pretty Providence	9	1
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	Easy Classic Lasagna Recipe - To Simply Inspire	10	2
1	benefits of running regularly	Want to know the benefits of running regularly	BING	12 Physical & Mental Health Benefits of Running Regularly	1	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	What are the health benefits of running?	2	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	What are the benefits of running every day?	3	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	Why is running good for fitness?	4	2
1	benefits of running regularly	Want to know the benefits of running regularly	BING	Why is running or jogging a good aerobic exercise?	5	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	Benefits of Running: 11 Reasons Why You Should Do It | …	6	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	"Running Everyday: Benefits, Risks, Creating a Routine, and ..."	7	3
1	benefits of running regularly	Want to know the benefits of running regularly	BING	Six Primary Benefits of Running - How Going for a Run ...	8	3
